run,Matching_score,gt_Matching_score,R_precision_top_1,R_precision_top_2,R_precision_top_3,gt_R_precision_top_1,gt_R_precision_top_2,gt_R_precision_top_3,FID,SRA,SRA_3,SRA_5,skate_ratio,Inference_time,Diversity,gt_Diversity
loss/0,3.6005375385284424,3.2416672706604004,0.42500001192092896,0.6112068891525269,0.720474123954773,0.4665948152542114,0.6642241477966309,0.7676724195480347,1.5945397552820282,5.409482955932617,13.706896781921387,19.827587127685547,0.11480963895549316,9.162773257288439,8.461918,7.2455573
loss/0,4.824338912963867,3.2416672706604004,0.29612070322036743,0.4530172348022461,0.5491379499435425,0.4665948152542114,0.6642241477966309,0.7676724195480347,5.745832387372204,6.530172348022461,16.185344696044922,22.564655303955078,0.15513178882628356,9.533129320473506,7.6780396,7.2455573
loss/3,9.37106990814209,3.4249584674835205,0.07500000298023224,0.14374999701976776,0.20000000298023224,0.35624998807907104,0.5687500238418579,0.6499999761581421,36.50801512008556,46.25,61.25,68.75,0.34601595110316047,5.045789670944214,8.421216,7.7160325
loss/3,6.658459663391113,3.4249584674835205,0.20000000298023224,0.2750000059604645,0.3125,0.35624998807907104,0.5687500238418579,0.6499999761581421,11.049401941713185,33.125,52.5,58.75,0.19578274273969476,5.093381357192993,8.645841,7.7160325
loss/3,6.579617977142334,3.4249584674835205,0.20624999701976776,0.28125,0.32499998807907104,0.35624998807907104,0.5687500238418579,0.6499999761581421,10.677631228508147,33.125,51.875,60.0,0.1910001871376191,5.077992010116577,8.622477,7.7160325
loss/3,4.680867671966553,3.4249584674835205,0.26875001192092896,0.4375,0.550000011920929,0.35624998807907104,0.5687500238418579,0.6499999761581421,3.2297829004723724,23.75,34.375,44.375,0.12970024676791128,5.027275943756104,8.3580475,7.7160325
loss/3,3.134495496749878,3.4249584674835205,0.40625,0.606249988079071,0.6812499761581421,0.35624998807907104,0.5687500238418579,0.6499999761581421,1.0378977585665439,1.875,10.0,13.75,0.07879984521498622,5.016773748397827,9.423178,7.7160325
loss/3,3.1276402473449707,3.4249584674835205,0.3812499940395355,0.5874999761581421,0.699999988079071,0.35624998807907104,0.5687500238418579,0.6499999761581421,1.1710554986998432,3.125,11.25,16.875,0.10420409419048707,4.944741868972779,9.700346,7.7160325
loss/3,5.565613746643066,3.4249584674835205,0.21250000596046448,0.3687500059604645,0.44999998807907104,0.35624998807907104,0.5687500238418579,0.6499999761581421,6.03100807506415,25.0,40.625,49.375,0.19302317651835219,4.971564817428589,8.39355,7.7160325
loss/3,6.0234880447387695,3.4249584674835205,0.21875,0.32499998807907104,0.39375001192092896,0.35624998807907104,0.5687500238418579,0.6499999761581421,7.936393782566455,30.625,45.625,52.5,0.18984500881767086,5.00942907333374,8.596507,7.7160325
mix/0,4.18250036239624,3.4249584674835205,0.35624998807907104,0.4937500059604645,0.574999988079071,0.35624998807907104,0.5687500238418579,0.6499999761581421,4.510829427930787,16.875,24.375,31.25,0.10171984229690811,4.6556251525878904,8.928882,7.7160325
mix/0,3.134495496749878,3.4249584674835205,0.40625,0.606249988079071,0.6812499761581421,0.35624998807907104,0.5687500238418579,0.6499999761581421,1.0378977585665439,1.875,10.0,13.75,0.07879984521498622,4.652824211120605,9.423178,7.7160325
mix/0,4.793801784515381,3.4249584674835205,0.26875001192092896,0.4375,0.518750011920929,0.35624998807907104,0.5687500238418579,0.6499999761581421,7.3355117322126375,16.25,24.375,30.0,0.09691230858041841,4.661600542068482,8.700999,7.7160325
mix/1,4.793801784515381,3.4249584674835205,0.26875001192092896,0.4375,0.518750011920929,0.35624998807907104,0.5687500238418579,0.6499999761581421,7.3355117322126375,16.25,24.375,30.0,0.09691230858041841,4.637601327896118,8.700999,7.7160325
mix/1,5.620280742645264,3.3369977474212646,0.23125000298023224,0.3375000059604645,0.44999998807907104,0.3375000059604645,0.5562499761581421,0.6625000238418579,7.8440924884165355,25.625,36.875,40.625,0.4037161883555996,4.702376842498779,8.897615,9.603917
